ESP_V (kV),Voltage,Da,Dp,R
11.0,250,19.788051392812797,14.062755774097743,0.0
11.0,250,19.8216814079318,14.086655585145813,0.0
11.0,250,19.8553343091192,14.110571660614477,0.0
11.0,250,19.889010096374996,14.134504000503725,0.0
11.0,250,19.9227087696992,14.15845260481357,0.0
11.0,250,19.956430329091802,14.182417473544009,0.0
11.0,250,19.9901747745528,14.206398606695032,0.0
11.0,250,20.023942106082202,14.230396004266654,0.0
11.0,250,20.05773232368,14.254409666258862,0.0
11.0,250,20.091545427346198,14.278439592671662,0.0
11.0,250,20.125381417080803,14.302485783505057,0.0
11.0,250,20.1592402928838,14.326548238759042,0.0
11.0,250,20.1931220547552,14.350626958433615,0.0
11.0,250,20.227026702695,14.374721942528783,0.0
11.0,250,20.2609542367032,14.39883319104454,0.0
11.0,250,20.2949046567798,14.422960703980891,0.0
11.0,250,20.3288779629248,14.447104481337833,0.0
11.0,250,20.3628741551382,14.471264523115366,0.0
11.0,250,20.396893233420002,14.495440829313491,0.0
11.0,250,19.6872986638662,13.991153927477088,0.0
11.0,250,19.6537601930208,13.967319174111385,0.0
11.0,250,19.6202446082438,13.943500685166272,0.0
11.0,250,19.586751909535202,13.919698460641753,0.0
11.0,250,18.855702713251198,13.400164419511942,0.0
11.0,250,18.888691918455002,13.423608826783454,0.0
11.0,250,18.9217040097272,13.447069498475551,0.0
11.0,250,18.9547389870678,13.470546434588242,0.0
11.0,250,18.987796850476798,13.494039635121522,0.0
11.0,250,19.020877599954197,13.517549100075396,0.0
11.0,250,19.053981235499997,13.541074829449862,0.0
11.0,250,19.087107757114197,13.564616823244918,0.0
11.0,250,19.120257164796797,13.588175081460566,0.0
11.0,250,19.153429458547798,13.611749604096808,0.0
11.0,250,17.203600174555802,12.226066270369339,0.0
11.0,250,19.1866246383672,13.635340391153639,0.0
11.0,250,19.253083656211203,13.68257075852908,0.0
11.0,250,19.286347494235798,13.706210338847681,0.0
11.0,250,19.3196342183288,13.72986618358688,0.0
11.0,250,19.352943828490197,13.753538292746667,0.0
11.0,250,19.38627632472,13.77722666632705,0.0
11.0,250,19.419631707018198,13.800931304328019,0.0
11.0,250,19.453009975384802,13.824652206749585,0.0
11.0,250,19.4864111298198,13.848389373591738,0.0
11.0,250,19.519835170323198,13.872142804854482,0.0
11.0,250,19.553282096894996,13.895912500537818,0.0
11.0,250,19.219842704255,13.658947442631064,0.0
11.0,250,8.61557017902,6.122819113263663,0.0
11.0,250,17.171801044908797,12.203467612968584,0.0
11.0,250,17.10827144382,12.15831909142886,0.0
11.0,250,14.8821742908408,10.576300732454357,0.0
11.0,250,14.9122798514262,10.597695822731339,0.0
11.0,250,14.942408298079998,10.61910717742891,0.0
11.0,250,14.9725596308022,10.640534796547078,0.0
11.0,250,15.002733849592802,10.661978680085834,0.0
11.0,250,15.032930954451801,10.683438828045182,0.0
11.0,250,15.063150945379201,10.704915240425121,0.0
11.0,250,15.093393822375,10.72640791722565,0.0
11.0,250,15.123659585439201,10.747916858446773,0.0
11.0,250,15.153948234571802,10.769442064088487,0.0
11.0,250,15.184259769772803,10.790983534150794,0.0
11.0,250,15.2145941910422,10.812541268633687,0.0
11.0,250,15.244951498379999,10.834115267537175,0.0
